Date,Type,Distance,Duration,Weight,AvgHR,MaxHR,Temperature,OverallPlace,FieldSize,Course,Pace
2011-01-11,Default,3,00:19:23,105.2,NA,NA,NA,NA,NA,NA,00:06:28
2011-01-14,Default,4,00:33:34,104.9,NA,NA,NA,NA,NA,NA,00:08:24
2011-01-15,Default,5,00:34:46,NA,NA,NA,NA,NA,NA,NA,00:06:57
2011-01-17,Default,8,00:58:56,NA,NA,NA,NA,NA,NA,NA,00:07:22
2011-01-18,Default,5,00:33:57,NA,NA,NA,NA,NA,NA,NA,00:06:47
2011-01-19,Default,6,00:44:43,103.3,NA,NA,NA,NA,NA,NA,00:07:27
2011-01-23,Default,6,00:39:45,102.6,NA,NA,NA,NA,NA,NA,00:06:38
2011-01-24,Default,8,00:52:41,NA,NA,NA,NA,NA,NA,NA,00:06:35
2011-01-27,Default,5,00:28:59,103.2,NA,NA,NA,NA,NA,NA,00:05:48
2011-01-30,Default,6,00:44:12,101.1,NA,NA,NA,NA,NA,NA,00:07:22
2011-01-31,Default,8,00:54:48,NA,NA,NA,NA,NA,NA,NA,00:06:51
2011-02-02,Default,7,00:41:38,NA,NA,NA,NA,NA,NA,NA,00:05:57
2011-02-06,Default,10,00:57:32,99.8,NA,NA,NA,NA,NA,NA,00:05:45
2011-02-13,Default,8,00:45:26,NA,NA,NA,NA,NA,NA,NA,00:05:41
2011-02-14,Default,5,00:30:24,NA,NA,NA,NA,NA,NA,NA,00:06:05
2011-02-16,Default,10,00:58:35,NA,NA,NA,NA,NA,NA,NA,00:05:52
2011-02-20,Default,10,00:59:42,NA,NA,NA,NA,NA,NA,NA,00:05:58
2011-02-20,Default,12,01:15:03,99.3,NA,NA,NA,NA,NA,NA,00:06:15
2011-02-27,Race,10,00:49:54,98.5,NA,NA,NA,NA,NA,Interruning Porriño,00:04:59
2011-03-02,Default,5,00:36:02,97.8,NA,NA,NA,NA,NA,NA,00:07:12
2011-03-03,Default,8.16,00:47:31,NA,NA,NA,NA,NA,NA,NA,00:05:49
2011-03-05,Default,10.7,01:07:40,97.1,NA,NA,NA,NA,NA,NA,00:06:19
2011-03-06,Default,14,01:19:46,97.1,NA,NA,NA,NA,NA,NA,00:05:42
2011-03-09,Default,7,00:45:42,NA,NA,NA,NA,NA,NA,NA,00:06:32
2011-03-10,Default,5.2,00:36:53,NA,NA,NA,NA,NA,NA,NA,00:07:06
2011-03-10,Default,12,01:07:50,96.5,NA,NA,NA,NA,NA,NA,00:05:39
2011-03-13,Default,18,01:44:43,96.1,NA,NA,NA,NA,NA,NA,00:05:49
2011-03-17,Default,10.2,00:57:43,96.1,NA,NA,NA,NA,NA,NA,00:05:40
2011-03-19,Default,10,00:53:15,95.5,NA,NA,NA,NA,NA,NA,00:05:20
2011-03-20,Default,16.2,01:39:41,95.5,NA,NA,NA,NA,NA,NA,00:06:09
2011-03-23,Default,5,00:25:25,94.7,NA,NA,NA,NA,NA,NA,00:05:05
2011-03-24,Default,4,00:26:30,NA,NA,NA,NA,NA,NA,NA,00:06:38
2011-03-26,Default,10,00:54:36,NA,NA,NA,NA,NA,NA,NA,00:05:28
2011-03-27,Race,10,00:47:32,93.9,NA,NA,NA,NA,NA,10 km Cidade Universitaria,00:04:45
2011-03-31,Default,12,01:07:08,93.4,NA,NA,NA,NA,NA,NA,00:05:36
2011-04-03,Default,17.4,01:39:10,NA,NA,NA,NA,NA,NA,NA,00:05:42
2011-04-05,Default,8.2,00:49:53,94.2,NA,NA,NA,NA,NA,NA,00:06:05
2011-04-07,Default,5.8,00:31:29,94.1,NA,NA,NA,NA,NA,NA,00:05:26
2011-04-10,Race,21.1,01:44:28,92.5,NA,NA,NA,1978,3688,MM Vig-Bay,00:04:57
2011-04-27,Default,4,00:00:00,NA,NA,NA,NA,NA,NA,NA,00:00:00
2011-04-28,Default,6,00:44:23,NA,NA,NA,NA,NA,NA,NA,00:07:24
2011-05-02,Default,5,00:27:42,NA,NA,NA,NA,NA,NA,NA,00:05:32
2011-05-05,Default,4.6,00:25:08,NA,NA,NA,NA,NA,NA,NA,00:05:28
2011-05-10,Default,8,00:43:04,NA,NA,NA,NA,NA,NA,NA,00:05:23
2011-05-15,Default,6,00:28:47,NA,NA,NA,NA,NA,NA,NA,00:04:48
2011-05-17,Race,5.8,00:26:35,92.4,NA,NA,NA,NA,NA,Carreira Popular Vila de Redondela,00:04:35
2011-05-23,Default,10,00:49:42,NA,NA,NA,NA,NA,NA,NA,00:04:58
2011-05-25,Default,6,00:29:59,NA,NA,NA,NA,NA,NA,NA,00:05:00
2011-05-27,Default,6,00:44:35,NA,NA,NA,NA,NA,NA,NA,00:07:26
2011-05-29,Race,10,00:50:06,NA,NA,NA,NA,NA,NA,Memorial Manuel Barros,00:05:01
2011-06-01,Default,8,00:41:25,NA,NA,NA,NA,NA,NA,NA,00:05:11
2011-06-05,Default,10,00:47:47,92,NA,NA,NA,NA,NA,NA,00:04:47
2011-06-06,Default,10,01:00:33,92,NA,NA,NA,NA,NA,NA,00:06:03
2011-06-27,Default,6,00:34:46,90.1,NA,NA,NA,NA,NA,NA,00:05:48
2011-07-04,Default,8.4,00:40:59,90.1,NA,NA,NA,NA,NA,NA,00:04:53
2011-07-11,Default,6,00:29:08,90.7,NA,NA,NA,NA,NA,NA,00:04:51
2011-07-24,Default,10.12,00:57:40,90.3,NA,NA,NA,NA,NA,A Freixa,00:05:42
2011-08-03,Default,6,00:31:52,90.3,NA,NA,NA,NA,NA,NA,00:05:19
2011-08-24,Default,6,00:33:12,92.2,NA,NA,NA,NA,NA,NA,00:05:32
2011-08-28,Race,8,00:41:01,90.6,NA,NA,NA,NA,NA,Carreira Popular de Randufe,00:05:08
2011-08-30,Default,8.4,00:46:19,90.6,NA,NA,NA,NA,NA,NA,00:05:31
2011-08-31,Default,6.27,00:37:38,NA,NA,NA,NA,NA,NA,NA,00:06:00
2011-09-02,Default,9.93,00:52:47,NA,NA,NA,NA,NA,NA,NA,00:05:19
2011-09-04,Race,10.4,00:48:42,89.6,NA,NA,NA,NA,NA,"Memorial Manuel Bergueiro, A Estrada",00:04:41
2011-09-05,Default,8.4,00:48:49,89.6,NA,NA,NA,NA,NA,NA,00:05:49
2011-09-06,Default,8.4,00:41:19,89.6,NA,NA,NA,NA,NA,NA,00:04:55
2011-09-11,Race,10,00:56:39,89.6,NA,NA,NA,NA,NA,Xornadas Marisqueiras do Berbes,00:05:40
2011-09-12,Default,6,00:34:18,89.6,NA,NA,NA,NA,NA,NA,00:05:43
2011-09-14,Default,8.4,00:45:00,88.6,NA,NA,NA,NA,NA,NA,00:05:21
2011-09-17,Race,9.65,00:47:57,88.6,NA,NA,NA,NA,NA,Carreira Pedestre de Campañó,00:04:58
2011-09-22,Default,7.2,00:35:59,90.4,NA,NA,NA,NA,NA,NA,00:05:00
2011-09-25,Race,6.2,00:28:40,90.4,NA,NA,NA,NA,NA,Festa do Marisco,00:04:37
2011-10-02,Default,12,01:08:23,87.3,NA,NA,NA,NA,NA,NA,00:05:42
2011-10-03,Default,9,00:44:34,87.3,NA,NA,NA,NA,NA,NA,00:04:57
2011-10-05,Default,12,01:00:55,87.4,NA,NA,NA,NA,NA,NA,00:05:05
2011-10-09,Race,10,00:45:59,87.4,NA,NA,NA,992,1970,A Coruña 10,00:04:36
2011-10-12,Race,9.7,00:51:48,87.4,NA,NA,NA,NA,NA,"Carreira da Amizade, Bembrive",00:05:20
2011-10-13,Default,12,01:00:34,87.4,NA,NA,NA,NA,NA,NA,00:05:03
2011-10-15,Default,14.6,01:21:09,87.5,NA,NA,NA,NA,NA,NA,00:05:33
2011-10-16,Race,11,00:50:38,87.5,NA,NA,NA,NA,NA,Vigo +11,00:04:36
2011-10-18,Default,8.4,00:40:50,87.5,NA,NA,NA,NA,NA,NA,00:04:52
2011-10-19,Default,15.63,01:28:34,87.5,NA,NA,NA,NA,NA,NA,00:05:40
2011-10-21,Default,7.2,00:37:07,87.5,NA,NA,NA,NA,NA,NA,00:05:09
2011-10-23,Race,21.1,01:40:35,87.5,NA,NA,NA,NA,NA,Media Maratón Pontevedra,00:04:46
2011-10-25,Default,8.4,00:45:47,88.2,NA,NA,NA,NA,NA,NA,00:05:27
2011-10-28,Default,7.2,00:35:35,87,NA,NA,NA,NA,NA,NA,00:04:57
